paper_id,year,title,venue,url,authors,author_ids,n_authors,venue_rank
W19-2701,2019,Introduction to Discourse Relation Parsing and Treebanking (DISRPT): 7th Workshop on Rhetorical Structure Theory and Related Formalisms,naacl,https://aclanthology.org/W19-2701/,Amir Zeldes; Debopam Das; Erick Galani Maziero; Juliano Antonio; Mikel Iruskieta,amir-zeldes; debopam-das; erick-galani-maziero; juliano-antonio; mikel-iruskieta,5,2
N19-1319,2019,Text Classification with Few Examples using Controlled Generalization,naacl,https://aclanthology.org/N19-1319/,Abhijit Mahabal; Jason Baldridge; Burcu Karagol Ayan; Vincent Perot; Dan Roth,abhijit-mahabal; jason-baldridge; burcu-karagol-ayan; vincent-perot; dan-roth,5,2
N19-1030,2019,Learning to Attend On Essential Terms: An Enhanced Retriever-Reader Model for Open-domain Question Answering,naacl,https://aclanthology.org/N19-1030/,Jianmo Ni; Chenguang Zhu; Weizhu Chen; Julian McAuley,jianmo-ni; chenguang-zhu; weizhu-chen; julian-mcauley,4,2
W19-2305,2019,Neural Text Simplification in Low-Resource Conditions Using Weak Supervision,naacl,https://aclanthology.org/W19-2305/,Alessio Palmero Aprosio; Sara Tonelli; Marco Turchi; Matteo Negri; Mattia A. Di Gangi,alessio-palmero-aprosio; sara-tonelli; marco-turchi; matteo-negri; mattia-a-di-gangi,5,2
N19-1226,2019,A Capsule Network-based Embedding Model for Knowledge Graph Completion and Search Personalization,naacl,https://aclanthology.org/N19-1226/,Dai Quoc Nguyen; Thanh Vu; Tu Dinh Nguyen; Dat Quoc Nguyen; Dinh Phung,dai-quoc-nguyen; thanh-vu; tu-dinh-nguyen; dat-quoc-nguyen; dinh-phung,5,2
N19-1300,2019,BoolQ: Exploring the Surprising Difficulty of Natural Yes/No Questions,naacl,https://aclanthology.org/N19-1300/,Christopher Clark; Kenton Lee; Ming-Wei Chang; Tom Kwiatkowski; Michael Collins; Kristina Toutanova,christopher-clark; kenton-lee; ming-wei-chang; tom-kwiatkowski; michael-collins; kristina-toutanova,6,2
N19-1027,2019,ComQA: A Community-sourced Dataset for Complex Factoid Question Answering with Paraphrase Clusters,naacl,https://aclanthology.org/N19-1027/,Abdalghani Abujabal; Rishiraj Saha Roy; Mohamed Yahya; Gerhard Weikum,abdalghani-abujabal; rishiraj-saha-roy; mohamed-yahya; gerhard-weikum,4,2
N19-1008,2019,Giving Attention to the Unexpected: Using Prosody Innovations in Disfluency Detection,naacl,https://aclanthology.org/N19-1008/,Vicky Zayats; Mari Ostendorf,vicky-zayats; mari-ostendorf,2,2
N19-1182,2019,Glocal: Incorporating Global Information in Local Convolution for Keyphrase Extraction,naacl,https://aclanthology.org/N19-1182/,Animesh Prasad; Min-Yen Kan,animesh-prasad; min-yen-kan,2,2
N19-1051,2019,Outlier Detection for Improved Data Quality and Diversity in Dialog Systems,naacl,https://aclanthology.org/N19-1051/,Stefan Larson; Anish Mahendran; Andrew Lee; Jonathan K. Kummerfeld; Parker Hill; Michael A. Laurenzano; Johann Hauswald; Lingjia Tang; Jason Mars,stefan-larson; anish-mahendran; andrew-lee; jonathan-k-kummerfeld; parker-hill; michael-a-laurenzano; johann-hauswald; lingjia-tang; jason-mars,9,2
N19-1109,2019,Word-Node2Vec: Improving Word Embedding with Document-Level Non-Local Word Co-occurrences,naacl,https://aclanthology.org/N19-1109/,Procheta Sen; Debasis Ganguly; Gareth Jones,procheta-sen; debasis-ganguly; gareth-jones,3,2
N19-1230,2019,AttentiveChecker: A Bi-Directional Attention Flow Mechanism for Fact Verification,naacl,https://aclanthology.org/N19-1230/,Santosh T.y.s.s; Vishal G; Avirup Saha; Niloy Ganguly,santosh-t-y-s-s; vishal-g; avirup-saha; niloy-ganguly,4,2
N19-1038,2019,Learning Interpretable Negation Rules via Weak Supervision at Document Level: A Reinforcement Learning Approach,naacl,https://aclanthology.org/N19-1038/,Nicolas Pröllochs; Stefan Feuerriegel; Dirk Neumann,nicolas-pr-llochs; stefan-feuerriegel; dirk-neumann,3,2
N19-1158,2019,Analyzing Bayesian Crosslingual Transfer in Topic Models,naacl,https://aclanthology.org/N19-1158/,Shudong Hao; Michael J. Paul,shudong-hao; michael-paul,2,2
N19-1238,2019,Text Generation from Knowledge Graphs with Graph Transformers,naacl,https://aclanthology.org/N19-1238/,Rik Koncel-Kedziorski; Dhanush Bekal; Yi Luan; Mirella Lapata; Hannaneh Hajishirzi,rik-koncel-kedziorski; dhanush-bekal; yi-luan; mirella-lapata; hannaneh-hajishirzi,5,2
W19-2605,2019,Annotating with Pros and Cons of Technologies in Computer Science Papers,naacl,https://aclanthology.org/W19-2605/,Hono Shirai; Naoya Inoue; Jun Suzuki; Kentaro Inui,hono-shirai; naoya-inoue; jun-suzuki; kentaro-inui,4,2
N19-1176,2019,A Crowdsourced Corpus of Multiple Judgments and Disagreement on Anaphoric Interpretation,naacl,https://aclanthology.org/N19-1176/,Massimo Poesio; Jon Chamberlain; Silviu Paun; Juntao Yu; Alexandra Uma; Udo Kruschwitz,massimo-poesio; jon-chamberlain; silviu-paun; juntao-yu; alexandra-uma; udo-kruschwitz,6,2
N19-2018,2019,Improving Knowledge Base Construction from Robust Infobox Extraction,naacl,https://aclanthology.org/N19-2018/,Boya Peng; Yejin Huh; Xiao Ling; Michele Banko,boya-peng; yejin-huh; xiao-ling; michele-banko,4,2
W19-2705,2019,Nuclearity in RST and signals of coherence relations,naacl,https://aclanthology.org/W19-2705/,Debopam Das,debopam-das,1,2
N19-1195,2019,Improving Natural Language Interaction with Robots Using Advice,naacl,https://aclanthology.org/N19-1195/,Nikhil Mehta; Dan Goldwasser,nikhil-mehta; dan-goldwasser,2,2
N19-4023,2019,A Research Platform for Multi-Robot Dialogue with Humans,naacl,https://aclanthology.org/N19-4023/,Matthew Marge; Stephen Nogar; Cory J. Hayes; Stephanie M. Lukin; Jesse Bloecker; Eric Holder; Clare Voss,matthew-marge; stephen-nogar; cory-hayes; stephanie-lukin; jesse-bloecker; eric-holder; clare-voss,7,2
N19-1068,2019,Generalizing Unmasking for Short Texts,naacl,https://aclanthology.org/N19-1068/,Janek Bevendorff; Benno Stein; Matthias Hagen; Martin Potthast,janek-bevendorff; benno-stein; matthias-hagen; martin-potthast,4,2
N19-1282,2019,Neural Constituency Parsing of Speech Transcripts,naacl,https://aclanthology.org/N19-1282/,Paria Jamshid Lou; Yufei Wang; Mark Johnson,paria-jamshid-lou; yufei-wang; mark-johnson,3,2
N19-1169,2019,Unifying Human and Statistical Evaluation for Natural Language Generation,naacl,https://aclanthology.org/N19-1169/,Tatsunori B. Hashimoto; Hugh Zhang; Percy Liang,tatsunori-b-hashimoto; hugh-zhang; percy-liang,3,2
N19-1287,2019,Document-Level Event Factuality Identification via Adversarial Neural Network,naacl,https://aclanthology.org/N19-1287/,Zhong Qian; Peifeng Li; Qiaoming Zhu; Guodong Zhou,zhong-qian; peifeng-li; qiaoming-zhu; guodong-zhou,4,2
N19-3003,2019,Emotion Impacts Speech Recognition Performance,naacl,https://aclanthology.org/N19-3003/,Rushab Munot; Ani Nenkova,rushab-munot; ani-nenkova,2,2
N19-1194,2019,VQD: Visual Query Detection In Natural Scenes,naacl,https://aclanthology.org/N19-1194/,Manoj Acharya; Karan Jariwala; Christopher Kanan,manoj-acharya; karan-jariwala; christopher-kanan,3,2
N19-1153,2019,Improving Lemmatization of Non-Standard Languages with Joint Learning,naacl,https://aclanthology.org/N19-1153/,Enrique Manjavacas; Ákos Kádár; Mike Kestemont,enrique-manjavacas; kos-k-d-r; mike-kestemont,3,2
N19-3001,2019,Is It Dish Washer Safe? Automatically Answering “Yes/No” Questions Using Customer Reviews,naacl,https://aclanthology.org/N19-3001/,Daria Dzendzik; Carl Vogel; Jennifer Foster,daria-dzendzik; carl-vogel; jennifer-foster,3,2
N19-1303,2019,GenderQuant: Quantifying Mention-Level Genderedness,naacl,https://aclanthology.org/N19-1303/,Ananya; Nitya Parthasarthi; Sameer Singh,ananya; nitya-parthasarthi; sameer-singh,3,2
